ATCF_ID,name,basedamage,ATD,ND,lf_ISO_TIME,lf_wind,lf_pressure,lf_state,WPC,population,lf_lat,lf_lon,Tide_Level
AL031960,Brenda,5000000,141.13002141115996,500000000,1960-07-29 06:00:00,45,1000.0,FL,9442.354503208682,37521,29.7,-83.5,-12.90229774375578
AL051960,Donna,300000000,573.418095577644,73410000000,1960-09-10 10:30:00,125,936.0,FL,9442.354503208682,554076,25.143050000000002,-81.1876,38.232628753897565
AL051960,Donna,56500000,295.66504911153027,3750000000,1960-09-12 04:30:00,90,958.5,NC,9442.354503208682,202380,34.725,-77.15,34.519445156054694
AL051960,Donna,30000000,10.92463336597714,1100000000,1960-09-12 19:30:00,85,960.5,NY,9442.354503208682,2908266,41.0,-72.65,63.555938760145935
AL061960,Ethel,1060000,5.701300208755565,45000000,1960-09-15 21:00:00,70,980.0,MS,9442.354503208682,196903,30.4,-89.0,-22.647824230899825
AL031961,Carla,325000000,3727.772208135629,22270000000,1961-09-11 22:00:00,125,936.6666666666666,TX,9631.439736151784,90520,28.375,-96.65673333333334,17.315481906343685
AL051961,Esther,6000000,2.855439490562482,380000000,1961-09-21 21:00:00,105,982.5,MA,9631.439736151784,2181660,40.9372,-70.4446,55.52915208361326
AL011962,Alma,1000000,6.230861111118689,58000000,1962-08-28 08:30:00,65,990.6666666666666,NC,9905.139610911623,162028,34.52641666666666,-76.09966666666666,7.8548681041233674
AL041962,Daisy,1100000,17.22391072043809,32000000,1962-10-08 01:00:00,65,975.0,ME,9905.139610911623,64476,43.605133333333335,-66.25663333333334,-69.76403409594164
AL041963,Cindy,12560000,27.927103373341915,410000000,1963-09-17 14:00:00,65,996.7777777777778,TX,10152.139461172737,443002,29.558333333333334,-94.4052,-3.726735731182641
AL031964,Abby,750000,6.439384487053286,46000000,1964-08-07 21:30:00,55,1000.0,TX,10656.655916051423,109294,28.716416666666667,-95.69991666666667,-3.005672577918046
AL051964,Cleo,128500000,91.8853006460138,8750000000,1964-08-27 10:30:00,90,970.0,FL,10656.655916051423,1312309,26.1,-80.12135,-38.26668673895166
AL061964,Dora,250000000,429.233094443948,22720000000,1964-09-10 05:00:00,97,965.6666666666666,FL,10656.655916051423,546545,29.883233333333333,-81.27586666666667,42.298160588410795
AL101964,Hilda,125000000,593.5620762618488,3620000000,1964-10-04 00:30:00,97,959.0,LA,10656.655916051423,197616,29.657500000000002,-91.57418333333332,-8.385660078883333
AL111964,Isbell,10000000,555.3566884612293,1120000000,1964-10-14 21:00:00,110,970.0,FL,10656.655916051423,16897,25.7274,-81.3521,-33.400193930650964
AL031965,Betsy,139300000,156.807194393319,3500000000,1965-09-08 13:30:00,110,951.0,FL,11225.282613058082,791385,25.14255,-81.06739999999999,-5.6932422616524185
AL031965,Betsy,1280500000,1633.0845376383077,17750000000,1965-09-10 04:30:00,135,946.0,LA,11225.282613058082,698512,29.26775,-90.32464999999999,-11.393766469423522
AL051965,Debbie,25000000,83.79225172148017,700000000,1965-09-30 00:00:00,30,1004.0,MS,11225.282613058082,265790,30.0,-88.9,-10.189571901256626
AL011966,Alma,10050000,67.1444979998047,1120000000,1966-06-09 20:00:00,80,979.6666666666666,FL,12049.400047813058,124220,29.9098,-84.4982,15.553579087548332
AL091966,Inez,5000000,3.508365432556059,120000000,1966-10-04 17:30:00,75,984.1666666666666,FL,12049.400047813058,1182769,25.02625,-80.43208333333334,18.970366215807758
AL131967,Beulah,200000000,495.0416575698937,7010000000,1967-09-20 09:00:00,140,931.0,TX,12859.744807599416,314164,25.5299,-97.0078,4.833402385731458
AL011968,Abby,450000,1.307016674675687,56000000,1968-06-04 11:30:00,57,992.0,FL,14010.31158932974,245744,26.80838333333333,-82.16681666666666,6.235605930812306
AL031968,Candy,3000000,7.385689021620328,65000000,1968-06-23 23:00:00,60,999.3333333333334,TX,14010.31158932974,289923,27.978333333333335,-97.09753333333333,-12.381615424733596
AL141968,Gladys,6700000,29.935832306205405,1170000000,1968-10-19 05:00:00,70,977.6666666666666,FL,14010.31158932974,159748,28.784766666666666,-82.62203333333333,26.19294869352723
AL091969,Camille,1421000000,1375.3615533481156,28520000000,1969-08-18 04:00:00,150,900.0,LA,15151.231157761831,681913,30.3,-89.4,-26.170574722546267
AL041970,Celia,454000000,819.8729404657537,9050000000,1970-08-03 21:30:00,110,947.5,TX,16299.75279025205,339726,27.84975,-97.16883333333332,-8.123036871920114
AL091971,Doria,147350000,308.37967024853816,3420000000,1971-08-27 18:30:00,55,989.1666666666666,NC,17675.692852878296,270326,34.94156666666667,-76.78444999999999,-70.71221655151089
AL111971,Fern,30230000,128.822467660071,690000000,1971-09-10 17:00:00,60,979.0,TX,17675.692852878296,132761,28.3408,-96.42416666666666,-23.77500487343498
AL131971,Edith,25000000,73.35330315647677,380000000,1971-09-16 13:00:00,85,978.0,LA,17675.692852878296,192816,29.661433333333335,-92.85443333333333,1.9345121316966072
AL141971,Ginger,10000000,20.754700785452314,270000000,1971-09-30 23:00:00,62,989.6666666666666,NC,17675.692852878296,272588,34.676633333333335,-76.91673333333334,21.418254809009746
AL021972,Agnes,100000000,443.21613358247134,1950000000,1972-06-19 21:00:00,65,984.0,FL,19190.278386463662,117572,30.065,-85.43,-10.220796452235996
AL021972,Agnes,2000000000,62.85928046116666,24490000000,1972-06-22 19:30:00,57,980.0,NY,19190.278386463662,16579801,40.6092,-73.65305000000001,45.40846553886593
AL111972,Carrie,1780000,14.995890766525463,39000000,1972-09-04 11:30:00,50,998.2291666666666,MA,19190.278386463662,61854,44.6383,-67.58361666666667,131.7897231476406
AL101973,Delia,18000000,8.179003071131,480000000,1973-09-05 02:00:00,55,986.8888888888889,TX,21497.69509151218,1023718,29.0368,-95.23526666666667,0.05775749039560796
AL021974,Subtrop 1 1974,10000000,2.6130074665059264,180000000,1974-06-25 07:30:00,50,1000.0,FL,25253.158047293553,1515457,27.8189,-82.76315,14.330489951438455
AL101974,Carmen,150000000,247.23799068540725,1530000000,1974-09-08 04:30:00,130,937.0,LA,25253.158047293553,240248,29.23615,-91.16015,11.080844823569985
AL131975,Eloise,490000000,1038.0563867403328,8500000000,1975-09-23 12:30:00,110,957.1666666666666,FL,27066.269718169642,174400,30.42445,-86.2544,-12.232679798445988
AL071976,Belle,100000000,2.1183575735988454,720000000,1976-08-10 05:00:00,70,982.0,NY,29224.70951826347,16152901,40.648266666666665,-73.30993333333333,-57.38928607685747
AL061977,Babe,10000000,12.252458404195995,88000000,1977-09-05 10:00:00,65,996.3333333333334,LA,32291.21744617299,252751,29.253333333333334,-91.23693333333333,15.068658385750405
AL041978,Amelia,20000000,13.02139555804733,280000000,1978-07-30 21:00:00,45,1005.0,TX,36098.17229561291,425488,26.0401,-97.1998,-19.232272119591297
AL041979,Bob,20000000,13.96063859826861,90000000,1979-07-11 12:30:00,65,986.5,LA,41044.2191678587,349038,29.255833333333335,-90.56418333333333,20.446242647419506
AL061979,Claudette,400000000,271.44861485111636,2020000000,1979-07-24 19:00:00,45,999.3333333333334,TX,41044.2191678587,359021,29.736633333333334,-93.8951,13.493890549496744
AL121979,Elena,10000000,14.858244553160928,110000000,1979-09-01 14:00:00,35,1008.0,TX,41044.2191678587,163976,28.666666666666668,-95.81513333333334,9.279095453519107
AL091979,David,160000000,50.73822971039715,2270000000,1979-09-03 17:00:00,85,972.0,FL,41044.2191678587,768303,27.055033333333334,-80.10496666666667,-41.703513250853426
AL091979,David,160000000,101.15849986169236,1570000000,1979-09-04 18:30:00,82,970.1666666666666,GA,41044.2191678587,385359,31.587083333333332,-81.19798333333334,-92.90456928944583
AL111979,Frederic,2300000000,888.0809227134671,17170000000,1979-09-13 04:00:00,115,951.6666666666666,AL,41044.2191678587,630991,30.4284,-88.3382,7.8044022343324375
AL041980,Allen,300000000,131.3377548748547,3040000000,1980-08-10 07:00:00,105,947.3333333333334,TX,46045.68648287857,496070,26.192533333333333,-97.33743333333334,3.1271896651430624
AL101981,Dennis,25000000,5.893051407934654,210000000,1981-08-17 07:00:00,35,999.0,FL,50162.16827240793,845714,25.2975,-81.1975,62.277981628824826
AL021982,Subtrop 1 1982,10000000,6.474162535696907,84000000,1982-06-18 12:30:00,50,998.3333333333334,FL,52397.3163148421,294786,28.931683333333332,-82.58435,-16.548115157326365
AL051982,Chris,2000000,0.9681922186344664,3000000,1982-09-11 11:30:00,55,994.1666666666666,LA,52397.3163148421,394239,29.728333333333335,-93.82038333333333,15.647198994872943
AL031983,Alicia,3000000000,284.4001793265315,22330000000,1983-08-18 07:30:00,100,962.25,TX,53870.34689949775,1958130,29.1734,-95.143425,-27.27207819252038
AL101984,Diana,65000000,35.83726389948272,620000000,1984-09-13 08:00:00,80,981.0,NC,56479.01384975929,321138,33.9096,-78.0771,-64.60898163059396
AL151984,Isidore,1000000,0.09056236372153127,8000000,1984-09-27 14:00:00,50,1000.0,FL,56479.01384975929,1955083,26.7048,-80.01833333333333,62.945042491541905
AL021985,Bob,20000000,6.266891753831851,190000000,1985-07-25 03:30:00,65,1003.1666666666666,SC,59121.78309979624,539797,32.31666666666667,-80.53333333333333,17.509283482418518
AL041985,Danny,50000000,41.2473498404054,200000000,1985-08-15 16:30:00,80,987.0,LA,59121.78309979624,205034,29.6,-92.7,21.0396557116093
AL051985,Elena,1250000000,530.1040629169112,5360000000,1985-09-02 13:00:00,102,959.0,MS,59121.78309979624,398842,30.4,-89.2,2.1026378185724997
AL091985,Gloria,100000000,116.92356520090085,660000000,1985-09-27 06:00:00,90,942.0,NC,59121.78309979624,144661,35.5,-75.5,41.04814001619405
AL091985,Gloria,800000000,10.077914618911528,3260000000,1985-09-27 16:30:00,85,961.75,NY,59121.78309979624,13426777,40.925,-73.175,71.10620901042473
AL121985,Juan,1500000000,836.3314421070627,6140000000,1985-10-29 11:00:00,67,974.0,LA,59121.78309979624,303365,29.5,-91.4,14.066469010637707
AL131985,Kate,300000000,317.2298061238523,1800000000,1985-11-21 22:30:00,85,967.0,FL,59121.78309979624,159956,30.0,-85.4,1.404145993385054
AL021986,Bonnie,2000000,0.5236338854788897,7000000,1986-06-26 10:00:00,75,990.0,TX,62517.50227477638,610943,29.6,-94.2,-5.4823744804619
AL051986,Charley,15000000,7.79277459958692,79000000,1986-08-17 14:30:00,65,989.5,NC,62517.50227477638,307891,34.78205,-76.4671,65.27302533807186
AL031987,Unnamed,7400000,0.835415685786429,27000000,1987-08-10 06:00:00,40,1009.0,TX,65776.24226352005,1346666,29.5,-94.5,-29.587632603551224
AL131987,Floyd,500000,0.030219097596774575,1000000,1987-10-12 21:00:00,65,993.0,FL,65776.24226352005,2515472,25.1,-80.5,-7.297026383360935
AL021988,Beryl,3000000,0.3416128811484946,3000000,1988-08-09 07:00:00,45,1001.0,LA,69377.42031575814,1265811,29.690966666666668,-89.64723333333333,-29.45339428472234
AL031988,Chris,500000,0.17816757876800388,3000000,1988-08-28 15:30:00,45,1005.1666666666666,GA,69377.42031575814,404504,32.13333333333333,-80.93333333333334,63.789178212380044
